operator,fold,best_epoch,best_val_rmse_checkpoint,selected_signal_threshold,val_rmse,val_mae,val_ic,val_dir_auc,val_trade_auc,val_sign_accuracy,val_long_precision,val_short_precision,val_coverage,val_gross_pnl,val_net_pnl,val_pnl_per_trade,val_n_trades,val_trade_rate,val_sharpe_like,val_bench_zero_rmse,val_bench_zero_mae,val_bench_zero_ic,val_bench_last_rmse,val_bench_last_mae,val_bench_last_ic,test_rmse,test_mae,test_ic,test_dir_auc,test_trade_auc,test_sign_accuracy,test_long_precision,test_short_precision,test_coverage,test_gross_pnl,test_net_pnl,test_pnl_per_trade,test_n_trades,test_trade_rate,test_sharpe_like,test_bench_zero_rmse,test_bench_zero_mae,test_bench_zero_ic,test_bench_last_rmse,test_bench_last_mae,test_bench_last_ic
rel_gatv2,2.0,11.333333333333334,0.002509035857392907,0.0007725649042986334,0.002509035857392907,0.001927097254794764,0.03037442852363256,0.5065339078189445,0.49417741373014873,0.5415853635259795,0.5381770375826278,0.6,0.41131632952213426,0.0439471583225289,0.01581382498919556,0.00024817833072028015,140.66666666666666,0.12371738493110525,0.7192433229629241,0.0020053419585033716,0.0014785576482830073,,0.004847630768707207,0.0035819828841739516,0.002946379166589746,0.0029665118282227007,0.0022067379459261185,-0.00716218708273423,0.49594165804044615,0.5111823047726811,0.4933608387459789,0.5217486673390002,0.39458413926499036,0.37584286133098804,-0.0012242213524586987,-0.02869088801912537,-0.0002015085117837654,137.33333333333334,0.1207856933450601,-0.8898594094297563,0.0025711500007930756,0.0018660352122747657,,0.0062195713923576925,0.004483943802283659,-0.009162795480403307
